"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,233.20811016041418,285.1805250271861,1.8203350002213365,2939.139234070463,7.5813128066605335,6.996276777449361,2733.5143487379173,0.05214797941230715
1.0,604.7587366180778,208.34181417864795,2.013502338163467,1368.322215269642,7.100144276182117,4.267517388560842,1535.533603842834,0.08391607935485657
1.0,641.8580344807899,118.47115206966195,1.931579702741081,3375.6344309935384,7.481621687230541,8.02622141870224,2852.5275317563087,0.055748086721257195
1.0,804.4481603290265,198.07025576156164,2.0437202728725237,5235.989827388904,9.573125638490172,11.045950291176405,4049.1229292662274,0.05258297875089536
1.0,896.2461730506519,29.233686490570374,1.8621491209072454,1823.6535376899824,6.596413252766905,4.673717228947047,1748.0440197485518,0.0627060579725068
2.0,233.2000186325502,285.2252493045185,1.8738094864998616,2752.799962487174,7.355330416132651,7.211852862728266,2694.5630706394218,0.058586352185610355
2.0,545.1880143444931,221.05818226881257,33.09277724009903,37723.22364859432,7.956716233771594E-9,1.137450255811218,473.0254777379929,0.23756535024445793
2.0,604.6604407829337,208.38280185976296,1.8125336435473218,1406.5764349431454,6.696115227681351,4.079485371462772,1506.023348765388,0.06838605249600124
2.0,641.3558216630212,118.43589911246606,2.045414259854691,3503.8900000766475,8.198485014174683,9.510492599605294,3864.276496552646,0.06677377931538767
2.0,804.304993550762,198.07411108532142,1.9067776419717952,5139.718371678465,9.355056504412493,11.207613676528947,3969.700057906026,0.04799327351106371
2.0,896.16366045694,29.32062799327969,1.9674544850936282,1787.2276458222918,6.893479221076292,4.502134851094669,1520.3050139532054,0.06783908597076621
3.0,232.91327301132543,285.14428165252195,2.0020130604337525,3158.6635820980887,8.247114884735216,8.395327004988854,3118.7876698268374,0.06440081570865018
3.0,604.7347568442976,208.3149026117829,1.9878871317345712,1352.3071470313303,6.912895260623375,3.5930190902592947,1223.5116189613318,0.0758578862992184
3.0,641.7147658283207,118.49062578664625,2.036704487137737,3445.478876333151,7.543446854580075,8.458712832388269,2981.9092832401175,0.06192456929186742
3.0,804.3380058760987,198.03721714148833,1.8975115965130276,5169.351567976571,9.462787992257828,11.679369893071625,4281.687741043609,0.048742576145282844
3.0,896.0911567893116,29.223213936669808,1.9484693547718575,1726.6421560329193,7.418019478681086,4.753467792484358,1693.557732541961,0.07065844994790818
4.0,142.3766099881495,198.739379486818,14.581423543460808,1156.9119854048295,4.537287302718535,1.0821153788314921,390.20399637817667,1.085288821141032
4.0,233.20008532662723,285.07903915258174,1.995101140147114,3035.6048481994576,7.895697900565558,7.482443565662534,3043.4982995861355,0.06130280514852169
4.0,604.8247550801531,208.30450647019575,1.9447555837355326,1319.6637675292507,6.532477065841574,4.255945425272908,1667.5707631606797,0.08165887244441142
4.0,641.4119257192493,118.57621667987448,2.0571650449770256,3603.6712047335095,8.043266791121397,8.652843819259678,3423.2434059217444,0.061583286065392415
4.0,804.3180700942384,198.06829099373468,1.9078120957758358,5098.647499273842,9.233366198793643,11.287415717181442,3945.374426929905,0.048600291301505914
4.0,896.2952185713211,29.213027056331505,2.0098888139096025,1811.5373910640794,6.8594866192837625,4.385639424481602,1683.1747757616188,0.06840880675020898
5.0,232.90462634511192,285.12475636776395,1.976721080747285,3137.1805113636647,8.176127168422864,8.05433865941348,3132.7879582105,0.06165545823791033
5.0,604.6236750480782,208.5068238749641,1.848306197232635,1322.6364530762457,6.424291640029459,3.7203377611953523,1244.312894944557,0.07047414876442883
5.0,641.7902450009578,118.49450805031844,1.8577718384306328,3302.142508053776,7.6267026866675085,7.866773640912056,2538.323855590404,0.05262584985798487
5.0,804.2873837864225,198.12042957594636,1.9375212476321617,5186.019843107904,9.375833495561594,10.781888031731116,3799.4465403884365,0.047653295842089695
5.0,896.2066899614949,29.230866351606448,1.9469582841687334,1733.327289155959,7.303984537534179,4.49329844859347,1529.9176489128079,0.06827742293598664
6.0,232.881802990853,285.1253240340867,1.8912522049477116,2952.458625754162,7.935144940674943,8.03348423029328,3393.21633951738,0.06016855517224882
6.0,604.9330718396307,208.4363134905278,2.031500233649914,1459.7306740462598,6.652438133130684,3.6847623775903964,1360.1553063403803,0.0749127395814476
6.0,641.5974002714878,118.44050328673949,2.0311067646577246,3432.011053324846,7.234116778508651,9.153763709514685,3420.9289816153446,0.06533844132142483
6.0,804.3644415073774,198.0518663398789,1.8842900094047228,5184.848528452939,9.279858143253211,11.152399541061797,4195.429089654954,0.046548203253872086
6.0,896.1421125141487,29.160214001180478,1.9615120463364826,1745.7982213191874,6.804712110848093,4.7199627724920745,1810.1531376771502,0.07050629117274015
7.0,232.94119490213183,285.1626068930992,1.8831031289768847,2884.0821147307224,8.543014874128827,7.380452215559475,3148.6159636304537,0.05768908962596397
7.0,604.7683441668023,208.50007659954417,2.138069120796062,1474.5767950572442,6.917464937709491,4.092342021561196,1403.9798365567542,0.08486328872623965
7.0,641.3248989485278,118.52158595115604,2.028980527846065,3561.4719124672997,8.811633416462119,8.880209233909973,3518.3084842826524,0.06186631515325491
7.0,804.2430692421839,198.10752381486256,1.9179957391309064,5178.9024976933715,9.917634778317383,10.553528444853319,3661.073264000617,0.0462470819953442
7.0,896.0911980236085,29.193353162485764,1.9100879855170723,1786.7693310100437,7.620479998918372,4.682881693057124,1599.3423578411077,0.0662307964383928
8.0,232.74558296212456,285.193287378093,1.9487026027444418,3041.507478489931,7.8127267130210685,8.157219623724064,3368.3124552910517,0.06231262927851284
8.0,604.7075466663251,208.4904919876164,1.910947808980765,1377.9143387039876,5.9233548110385446,3.788050396817659,1392.5845652211817,0.07241258596511885
8.0,641.2126720254986,118.49414899136673,2.062599799428635,3623.00610170376,7.861446503148792,9.22057396077483,3770.0652600153176,0.06437045739087462
8.0,804.2637139289889,198.12605186098133,1.9022402854908773,5145.387066342646,9.048895044889138,10.187124319723127,3791.7266467694185,0.04482619144403312
8.0,896.3400727746194,29.271131491377677,2.013311727954385,1939.4206618782607,6.461097529251872,4.610886251216248,1852.021165576387,0.06683583268310675
9.0,233.1533398046154,285.1642661439461,1.9583639812638474,3089.414596542502,8.166904184320936,7.5643728437221505,2969.52350311364,0.05903016671621024
9.0,604.5553681914903,208.42930077455514,2.1284653475291937,1357.9918085695394,6.401313544757769,4.303343369577939,1695.8836423676312,0.09261410159534962
9.0,641.1425634112388,118.44459433521675,2.0993485542971504,3727.223133482,8.501553319136,8.632368745466591,3077.299833399763,0.06183363930164104
