"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,76.45270016135838,262.7662627861044,1.910244423110575,3950.97665532962,9.333590002774514,6.119324914626248,1700.4500312783423,0.041802443325868674
1.0,155.27244495132294,213.61896323774738,1.9500891977717256,9613.46790721512,13.22281578789276,15.255339969918891,4766.3169448284325,0.03632487989972101
1.0,410.6239852767263,139.62596898235353,2.2062016463981178,23569.021329498053,20.611650442255307,39.61939397551342,13752.916813059242,0.04350335951451144
1.0,652.0350879977647,165.36693198064427,2.429822439697231,17381.699585129867,17.251692693744516,38.48787450307514,13502.870515709823,0.06811638609602282
1.0,699.3799537648298,342.75313513546695,2.035860583068363,11433.214523682554,14.344850245684732,22.162866949116424,8278.07932946354,0.04463367479975057
1.0,783.5935406670889,334.48140246538225,2.1612847661635564,11799.166101548606,13.696272318111092,21.37367731915727,7477.538248090628,0.04692991753549573
1.0,831.4731645854343,82.06674741828878,2.9047255127001548,4072.2643477359697,9.406183462853575,8.36243085101752,2418.422826371332,0.09816969129132942
1.0,841.937521384558,354.9681955581285,2.0461282538595276,6546.877246082341,11.291610387378421,13.971264007902825,5014.551909486549,0.05155982556144388
1.0,885.7345486830947,371.5397764775844,2.08303374575778,2224.6636436397066,8.760473013317991,4.951028106996891,1584.7931114266084,0.06581412547224223
2.0,76.4686137438574,262.69686609890437,1.907277902124802,3818.9000479419583,8.529728861632844,5.80052834834443,1595.3097595786105,0.04173315406734006
2.0,155.29968719580117,213.64340073396104,1.9870106915676689,9477.963495894912,11.91562405717203,15.380140582923724,4867.41019512175,0.03817076186773949
2.0,410.6972382676427,139.66364036277278,2.1980569749471703,23443.497410227345,19.07713704327196,37.81453399358722,13412.260051516723,0.041665860294654716
2.0,652.0151675879722,165.32286094183604,2.4433433643912825,17482.277909225726,16.185274326389482,39.56430132985574,14042.058869526001,0.07024162563666182
