"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,489.6040365261739,122.03861407145158,1.9034513361647483,21030.084966679515,18.747189851400115,36.952050788516836,12761.815740418051,0.03456648260098272
1.0,794.8392861708221,151.41537623035572,2.5828447825439427,60679.93813638629,16.510370588193986,50.753216927865765,15707.14778579907,0.029896260124636295
1.0,897.5716688408364,382.31188641220444,2.07532784420118,17969.9037687105,19.408478998078476,15.802910144850097,4148.596763824999,0.024594070529570734
1.0,929.5566955031385,79.32855187443718,1.8903634010433201,19889.883411289295,18.810984741880606,27.656322264169717,8860.52933390335,0.02836120306546527
1.0,936.4006099650351,149.3077750691297,2.137909772907716,24792.350032680686,14.069359868042195,24.00095151161217,7780.309765256623,0.02607258674046517
2.0,489.5953591504455,122.05102685673204,1.8540739179771037,19745.757505564638,17.710095346055013,36.43848318590116,13318.625423282787,0.03449215004874759
2.0,795.4815291958843,150.91689730380543,2.2249063466743735,42165.56418261359,14.191475158663696,33.71725598278773,12176.97037410136,0.022653374561156008
2.0,897.5682043298087,382.2923252730539,2.0497760758876153,17198.39168152815,18.20903093857698,15.65137319027716,4270.954692523847,0.024831297321351326
2.0,929.6162517908376,79.30279921933669,1.9066770910969173,19118.113796166443,17.447807423626507,28.790870650503404,9341.774780782767,0.03078659650310858
2.0,936.3714499548493,149.29630056189995,2.1262167575295816,24488.833424044853,12.690577880350729,26.136489377240093,7766.114418145458,0.02780480190376788
3.0,489.6429790876641,122.04956876845229,1.8592211124413494,19660.63582781311,17.7476663967715,35.740086305080546,12519.014885638102,0.0342409385591717
3.0,794.8219983002299,149.9517641131685,2.420700527431698,56425.91846791743,19.48080642799789,58.4275743234733,11207.721421080085,0.03210336640418853
3.0,897.5318626316856,382.3115040225715,2.0713738114408846,17495.243369455537,18.12132726291451,16.724104797907398,4278.710684820386,0.025938222708263754
3.0,929.6169467665711,78.66242800889245,2.2023763888855874,26057.872270530675,11.656819735908435,20.866803914840943,4171.563694135363,0.023843556153136276
3.0,936.3854763927112,149.28602851152684,2.1285485806620583,23241.04527291496,13.464056021163392,25.007467768245533,7453.785905362092,0.02821070218232449
4.0,489.67843949135744,121.99031243918014,1.8704104245375752,19606.403582538394,17.78345144013894,35.575326600316615,13002.605940749205,0.03457461079724347
4.0,794.807804642021,150.00162634906732,2.387437721023226,54960.4555211407,19.661457635361472,60.418281499042145,11291.218887675483,0.03304493656716545
4.0,897.6007903137678,382.317912337347,2.0317912998091088,16787.416392660325,18.61718244232589,15.05242329925177,3476.429947928506,0.02439721287070297
4.0,929.586028016561,79.33067839971598,1.8980252596798122,19185.631105824796,17.463873687298396,26.70801282214657,8161.5238269940855,0.02870895430112062
4.0,936.3906916134569,149.06585268644673,1.9695190939940512,22045.230914896474,18.62337176800575,26.38753537578423,7024.614590021725,0.026861668724401846
5.0,489.58027492561047,122.0590350127729,1.8235847291090697,19479.96624321663,17.495059442601676,36.996812910153665,13177.14852005049,0.03431495719174421
5.0,794.8446796998625,150.81951829539054,2.313605376061759,47111.85652993365,20.440311723235233,60.04286157291442,19033.791633481786,0.035847542651166825
5.0,897.5844067700394,382.32259590618344,2.0819513955603157,17162.858935295837,17.68207328979837,15.38132927703436,4015.839238421501,0.025232168219914062
5.0,929.5605368055008,79.35684893446391,1.8809411029259213,18756.315625073017,16.800239909951294,24.29934616730032,7551.10177354307,0.02685275650375617
5.0,936.367274645675,149.1187387664401,1.9727029376740233,21133.717257837663,18.238220838719954,26.51318423259025,7261.458953763678,0.028055778856472695
6.0,489.64259998448745,122.04556773458707,1.8473634609511838,19648.080069253145,17.629979957619547,35.92899319454228,12599.274531108846,0.034010980816989944
6.0,795.1836930746867,151.0508070779837,2.3045218790033117,47369.10517235468,15.111689477419274,43.71211337631533,14043.497366248708,0.026786428997432804
6.0,897.5696606298003,382.3386776878011,2.0261194864706558,17374.564615349198,18.31357241078512,15.276027204374662,4101.475754739908,0.0238428450223456
6.0,929.5943467270531,79.36542691785368,1.8866674327661774,18500.016612034822,17.34930010384449,27.586644838508686,7640.941618100905,0.030082855900450522
6.0,936.3935061901876,149.06662183286295,1.9826454105370332,20776.883125678687,18.442175966805312,25.99476116359002,6623.773018100087,0.02830378390342097
7.0,489.71082975134476,122.06974129898492,1.8707987480215176,20361.113117990615,17.174976967523317,38.50732853877212,13584.459762300545,0.03573648785142343
7.0,795.4753714974341,150.885764280053,2.2266149935158315,42412.67737690589,13.956665649318696,34.13248021602339,11897.491394832923,0.022780603569506324
7.0,897.5396625499764,382.30826513328253,2.0369170895806747,16642.060406501332,17.68092971194221,15.822578575509839,4116.408914099434,0.025404813343743074
7.0,929.5684696878099,79.33041438143879,1.8964249750052047,18298.80061304814,16.32718726395881,26.600277252717746,8044.106950153271,0.029799638538479046
7.0,936.3804781557614,149.09371051371554,1.9355987744304433,20993.4795840894,17.707768450063835,25.170360604881886,6772.682536163953,0.02625932726155574
8.0,489.6049309196637,122.08740899703443,1.8572705041351574,20020.20262068405,17.327106055463293,37.3772031192088,12517.670835852554,0.03491159898272785
8.0,794.7635735058115,150.02468093211806,2.372373897881839,54071.82507375642,18.777233359028124,57.82868967613835,11148.690930106133,0.03187798071612872
8.0,897.5503265392549,382.2899089235397,2.0589344005067423,16496.605616729426,17.611165767537866,15.46238289748728,4128.0770702358295,0.0256676452905216
8.0,929.6546115071392,79.35127392548335,1.9243782070630646,18252.348736046377,16.379072109662662,26.20543993114546,7793.387620402168,0.03029733182430738
8.0,936.3533481425542,149.11249479905712,1.9520435945636032,20525.528677975373,17.57561489448404,26.07453793602657,7251.273600783309,0.02790352667797102
9.0,489.6589155579587,122.04667313942366,1.8672976948281896,19921.760627808286,17.804099539359942,36.49384849330125,12590.767858050258,0.0347069387515721
9.0,794.6580926028132,150.36512281678293,2.2366292760567434,47119.40001638928,20.052306442149515,56.33084483067807,10757.143899038869,0.031730586527148594
9.0,897.5205522888795,382.2909618962554,2.0931593887568756,16745.06749418244,17.36210317778523,16.08833612773847,4085.082144793302,0.026682779428996734
9.0,929.5488128383794,79.36150897406371,1.8999738124896859,17843.07847535005,16.29296786529403,26.21587869870504,8228.599717249353,0.030232174867507285
9.0,936.3950064615489,149.31700379214286,2.1333686176359112,22236.64375941391,13.250849663343256,22.608906754348265,6959.965218712346,0.027323931924507047
10.0,489.5664939793559,122.07046288677326,1.8554228821255838,19545.07641839773,17.71342348245325,36.605691881696345,12925.568018390863,0.03500288210226791
10.0,794.6887910234095,150.34264830910558,2.248690306181428,47484.629318439496,19.17300539429376,60.038296009655014,11720.469254572718,0.03369825174440166
10.0,897.5130609670049,382.32020556411527,2.047805864055186,16260.288116698614,17.361390828927526,15.179691530153857,4291.7882437581375,0.025459857951266283
10.0,929.5620408387139,78.6589677518018,2.1773153885027017,24634.414151685745,10.938174463360646,19.757353070404527,4079.001477435627,0.02364640695672143
10.0,936.3933110378795,149.0895245066644,1.9597635185775828,19824.99556776417,17.453534193888572,25.03217032470405,6938.55330462531,0.028088855497342715
