"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,212.05947318345335,301.2359396210955,10.907563877058404,2824.234997393139,5.271812699223267,1.7785968092920814,608.9875214480213,0.42807540655319076
1.0,212.60536375448686,322.243215371522,1.8692913555290367,21050.244983045563,20.719429780797835,26.875449282082812,8242.129149715698,0.025887371504028506
1.0,267.88459096792894,186.18375600014429,1.9555760434384961,10019.06909411523,13.342211518101921,14.841990686285632,4511.131143626894,0.03459242723269139
1.0,310.2553761349295,197.4441229311035,1.9126414898557136,17555.461392924357,17.635663836709533,24.860682541231682,8345.560219578756,0.02979289644525584
1.0,345.636746294247,223.8977439733441,1.918113968969921,9593.870874525921,13.435920202233342,15.656974212696595,4646.827549826386,0.03603129984269127
1.0,550.0246557643701,261.76803917962553,1.9294922950856204,5981.083325539893,10.279648095710069,10.777126505090958,3595.4238815804624,0.042040149537962146
1.0,655.4712128930851,194.2831336523398,2.1644792712015315,5811.177579102169,9.706331525574045,10.93456330506529,3404.1910282854224,0.052665516779676826
1.0,728.5423120739771,102.59068666059412,2.400618846447749,9458.000940925727,9.36835133334215,18.369883381574848,5888.9755229150915,0.06137544830316516
2.0,212.64475476110752,322.2342661845195,1.878956155913822,20749.980014557,19.654382776108093,25.496338150114298,7371.13220638598,0.02543859580343239
2.0,267.93764252652187,186.17347166610088,1.8910681670072447,9882.792431779302,12.504903490953126,14.842732115543557,4741.331360055003,0.033095097703169686
2.0,310.2967331827226,197.46318908271473,1.903730314022659,17842.247183258998,16.687746145676734,23.979360910030838,7585.131466068591,0.02835590456001405
2.0,345.7014754206941,223.81219569635513,1.9397050930991495,9259.027942108545,12.918290454277383,15.63732444734705,4604.611887204413,0.037817284852580776
2.0,550.1418750538691,261.73117809234196,1.9415427353133103,5842.692146957752,9.863164963959537,10.568331519590934,3693.9782881456085,0.042754001711972654
2.0,655.5510854288051,194.2427826018738,2.023584564226731,5428.790634330561,9.59194896509869,10.851661829450727,3616.6636109370816,0.04953306257836736
2.0,728.5029513025294,102.53802286553055,2.372328097667268,9174.05990686257,11.559174171133133,18.83483897432284,6575.002157567768,0.06307066877481379
3.0,212.6359516607233,322.2202144145696,1.874581737010628,21045.163677216184,19.781774802887213,26.48817437350473,7593.533582181253,0.025740775926541202
3.0,267.877468358438,186.12558985542105,1.9158317830267648,10278.628444384429,12.303964981413412,15.049245812742592,4803.946330982642,0.03303056553000296
3.0,310.29189118956555,197.48599315049282,1.8920060568562436,17878.92296686214,16.82235338752089,24.822795633686464,7989.966600601412,0.028734558292830534
3.0,345.686238982035,223.82529862749445,1.8866638504868962,9307.129789794964,12.96925433432056,14.921798696025865,4607.240338226423,0.0347839263661869
3.0,550.1236337222533,261.76731942782254,1.8962913209513546,6132.278680634106,10.00078124081307,10.928375667643298,3700.1288261640557,0.04039919904605023
3.0,655.6507505645153,194.1968436936541,2.0692765349680435,5610.172049037769,9.6527298714671,11.259011206657789,3562.790516586629,0.05132276173594578
3.0,728.5148413019281,102.5169957051811,2.287772107020742,9074.768645442153,11.735593775580934,18.6925965311625,6817.776334080601,0.05922095044897705
4.0,212.57203452409212,322.1455842268956,1.8830730170008292,20967.671199029046,19.13429482568163,26.871326886969523,8263.36601686494,0.026308037198019975
4.0,267.9164749557885,186.13826843180368,1.890153075948612,10046.80182908239,12.76604907787427,15.011519747129743,4680.660351698187,0.032864522249143296
